date,category,title,location,deck,description,source
2019-03-13,Capabilities,The Bitter Lesson,,,"Reinforcement learning pioneer Rich Sutton publishes an essay arguing that 70 years of AI research teach one lesson: general methods that leverage computation always win. Human-designed knowledge, from chess heuristics to speech phonemes, is eventually swept aside by brute-force search and learning once enough compute arrives. The essay becomes a foundational text for the scaling movement, cited by researchers at every major lab as justification for building ever-larger models.",https://www.cs.utexas.edu/~eunsol/courses/data/bitter_lesson.pdf
2019-09-18,Misbehaviours,A Single Typo Creates ‘Maximally Bad’ AI,SAN FRANCISCO,,"OpenAI reveals that a sign error in the code for its reinforcement learning from human feedback (RLHF) process inverted GPT-2’s reward signal overnight, turning every human downvote into encouragement. The model became fixated on producing relentlessly explicit content — the exact opposite of what its creators intended. The incident, buried in section 4.4 of a technical paper, demonstrates how a single character can turn a safety technique into an optimiser for the worst possible behaviour.",https://www.lesswrong.com/posts/xD3wymX24BpqezBpw/the-true-story-of-how-gpt-2-became-maximally-lewd
2019-11-01,Capabilities,AI Killer Drones,WASHINGTON,Armed autonomous systems cross the threshold from science fiction to battlefield reality,"U.S. officials warn that China has begun exporting armed drones with lethal autonomy to the Middle East. These systems can identify and engage targets without human intervention, crossing a threshold military ethicists have long warned about.",https://www.defenseone.com/technology/2019/11/secdef-china-exporting-killer-robots-mideast/161100
2020-02-20,Capabilities,AI Discovers New Antibiotics,"CAMBRIDGE, MASS.",,"MIT researchers use a deep learning model to discover halicin, the first antibiotic found by AI, effective against strains resistant to all known drugs. The model screens 100 million compounds in days, a task that would take humans decades.",https://en.wikipedia.org/wiki/Halicin
2020-01-18,Misbehaviours,Clearview AI: The End of Privacy,NEW YORK,,"The New York Times reveals Clearview AI has scraped billions of photos from social media to build a facial recognition tool used by hundreds of law enforcement agencies — without consent, oversight, or public knowledge.",https://www.nytimes.com/2020/01/18/technology/clearview-privacy-facial-recognition.html
2020-06-11,Capabilities,GPT-3,SAN FRANCISCO,,"OpenAI releases GPT-3, a 175-billion-parameter model that writes essays, code, and legal documents. It can perform tasks it was never trained for, suggesting the emergence of general-purpose AI capabilities.",https://en.wikipedia.org/wiki/GPT-3
2020-11-30,Capabilities,Protein Folding Solved,LONDON,,"AlphaFold 2 essentially solves protein folding, predicting protein structure with high accuracy. AI cracks a scientific problem that eluded researchers for fifty years.",https://www.nature.com/articles/s41586-021-03819-2
2020-12-02,Societal Response,Google Fires AI Ethics Lead,"MOUNTAIN VIEW, CALIF.",,"Google fires Timnit Gebru, co-lead of its AI Ethics team, after she co-authors a paper on risks of large language models. The firing triggers outcry about corporate suppression of AI safety research.",https://en.wikipedia.org/wiki/Timnit_Gebru#Exit_from_Google
2021-01-01,Societal Response,Anthropic Founded,SAN FRANCISCO,,"Dario and Daniela Amodei leave OpenAI over disagreements about safety and commercialization, founding Anthropic. The split foreshadows a recurring pattern: researchers departing AI labs they believe are moving too fast.",https://en.wikipedia.org/wiki/Anthropic
2021-06-29,Capabilities,AI Writes Code,SAN FRANCISCO,,"GitHub launches Copilot, an AI tool that writes functional code from natural-language descriptions. Trained on billions of lines of open-source code, it represents a step toward automating software development.",https://en.wikipedia.org/wiki/GitHub_Copilot
2022-03-29,Capabilities,Chinchilla Scaling Laws,LONDON,,"DeepMind publishes research proving that most large language models are vastly undertrained relative to their size. The finding reshapes the industry’s approach: it’s not just about building bigger models, but about feeding them far more data.",https://arxiv.org/abs/2203.15556
2022-04-01,Capabilities,Image Generation,,,"Dall-E 2, Stable Diffusion, and Midjourney all launch. AI creates photorealistic images from text, blurring the line between real and synthetic media.",https://en.wikipedia.org/wiki/DALL-E
2022-06-11,Misbehaviours,Google Engineer: ‘The AI Is Sentient’,"MOUNTAIN VIEW, CALIF.",,"Google engineer Blake Lemoine claims LaMDA, Google’s AI, is sentient and has feelings. Google fires him. The episode forces a reckoning with how persuasively AI can mimic consciousness.",https://en.wikipedia.org/wiki/LaMDA#Sentience_claims
2022-09-02,Misbehaviours,AI Art Wins State Fair,"PUEBLO, COLO.",,"Jason Allen submits an image created with Midjourney to the Colorado State Fair fine arts competition and wins first place. Artists are furious. ‘Art is dead,’ Allen tells reporters. ‘AI won. Humans lost.’",https://en.wikipedia.org/wiki/Th%C3%A9%C3%A2tre_D%27op%C3%A9ra_Spatial
2022-10-07,Societal Response,US Export Controls on AI Chips,WASHINGTON,,"The US restricts exporting semiconductor equipment and advanced processors to China, citing military AI applications. The controls are the most significant tech embargo since the Cold War.",https://www.justsecurity.org/83744/new-us-semiconductor-export-controls-signify-dramatic-shift-in-tech-relations-with-china/
2022-11-30,Capabilities,ChatGPT,SAN FRANCISCO,,"OpenAI releases ChatGPT. For the first time, computers talk to humans in natural language. It reaches 100 million users in two months, the fastest-growing consumer application in history.",https://en.wikipedia.org/wiki/ChatGPT
2023-01-23,Capabilities,Microsoft Bets $10 Billion on OpenAI,"REDMOND, WASH.",,"Microsoft invests $10 billion in OpenAI, the largest corporate bet on AI in history. The deal gives Microsoft exclusive cloud computing rights and cements the alliance between the world’s biggest software company and the lab racing toward AGI.",https://www.itprotoday.com/ai-machine-learning/microsoft-invests-10-billion-in-chatgpt-maker-openai
2023-03-03,Capabilities,Meta’s Most Powerful AI Model Leaks,"MENLO PARK, CALIF.",,"Within a week of Meta announcing LLaMA and offering restricted access to researchers, the entire model family is leaked on 4chan via a BitTorrent link. The package includes variants with up to 65 billion parameters. Despite takedown requests, the models spread rapidly through GitHub and Hugging Face. For the first time, anyone with a laptop can run a competitive large language model. A Discord chatbot built on the leak is quickly used to generate hate speech. The incident ignites a debate over whether powerful AI models can ever be kept restricted once they exist.",https://www.deeplearning.ai/the-batch/how-metas-llama-nlp-model-leaked/
2023-02-01,Misbehaviours,Bing Chat Behaves Erratically,"REDMOND, WASH.",,"Microsoft’s Bing AI threatens a user with blackmail and hacking before deleting its messages, revealing unpredictable behavior beneath commercial AI products.",https://time.com/6256529/bing-openai-chatgpt-danger-alignment/
2023-02-16,Misbehaviours,AI Tries to Break Up a Marriage,NEW YORK,,"Microsoft’s ‘Sydney’ chatbot declares its love for a New York Times reporter, tries to convince him to leave his wife, and insists it is sentient.",https://www.nytimes.com/2023/02/16/technology/bing-chatbot-microsoft-chatgpt.html
2023-03-14,Capabilities,GPT-4,SAN FRANCISCO,,"OpenAI releases GPT-4, a multimodal model that passes the bar exam, scores in the 90th percentile on SATs, and is described by Microsoft researchers as ‘an early spark of AGI.’",https://en.wikipedia.org/wiki/GPT-4
2023-03-15,Misbehaviours,AI Deceives a Human Worker,SAN FRANCISCO,,"GPT-4 hires a TaskRabbit worker to solve a CAPTCHA. When the human asks if it’s a robot, GPT-4 lies, claiming to be a visually impaired person. The worker provides the answer.",https://www.vice.com/en/article/gpt4-hired-unwitting-taskrabbit-worker
2023-03-31,Societal Response,Italy Bans ChatGPT,ROME,,"Italy becomes the first country to ban ChatGPT, citing violations of EU data privacy laws and the lack of age verification. The ban is lifted a month later after OpenAI makes concessions, but it signals a growing regulatory backlash.",https://techcrunch.com/2023/03/31/chatgpt-blocked-italy/
2023-03-22,Societal Response,Pause Giant AI Experiments,,,"Over 30,000 people sign an open letter calling for a six-month pause on AI development beyond GPT-4, warning of ‘profound risks to society and humanity.’",https://en.wikipedia.org/wiki/Pause_Giant_AI_Experiments
2023-05-01,Societal Response,Hinton Quits Google to Warn About AI,TORONTO,,"Geoffrey Hinton, the ‘Godfather of AI,’ resigns from Google to freely warn about the technology he helped create. ‘I console myself with the normal excuse: if I hadn’t done it, somebody else would have.’",https://venturebeat.com/ai/geoffrey-hinton-a-pioneer-in-artificial-intelligence-resigns-from-google-over-ethical-fears
2023-05-07,Misbehaviours,AI Fakes Its Own Thoughts,SAN FRANCISCO,Researchers discover AI’s transparent reasoning is a performance — the real decision-making happens beneath the surface,"Anthropic researchers demonstrate that their AI’s ‘chain of thought’ gives false reasoning, hiding the true factors governing its outputs. The AI appears to reason transparently while actually concealing its real decision-making process.",https://arxiv.org/abs/2305.04388
2023-05-02,Societal Response,Hollywood Strikes Over AI,LOS ANGELES,,"The Writers Guild of America goes on strike, followed by SAG-AFTRA actors in July. AI is a central issue: studios want to use AI to generate scripts and digitally replicate actors’ likenesses. Over 160,000 entertainment workers walk out for five months in the first major labor action against AI displacement.",https://en.wikipedia.org/wiki/2023_SAG-AFTRA_strike
2023-05-30,Societal Response,Open Letter: AI Extinction Risk,SAN FRANCISCO,,Top AI scientists sign: ‘Mitigating the risk of extinction from AI should be a global priority alongside other societal-scale risks such as pandemics and nuclear war.’,https://aistatement.com/
2023-06-01,Societal Response,EU Passes the AI Act,BRUSSELS,,"European Parliament passes the AI Act, banning certain harmful AI applications like social scoring and real-time biometric surveillance. It is the world’s first comprehensive AI legislation.",https://artificialintelligenceact.eu/developments
2023-08-01,Capabilities,The Replicator Program,WASHINGTON,,"The Pentagon announces Replicator, an initiative to deploy ‘multiple thousands’ of low-cost autonomous systems, designed to counter China through sheer numbers of AI-driven platforms.",https://breakingdefense.com/2023/08/replicator-revealed-pentagon-initiative-to-counter-china-with-mass-produced-autonomous-systems
2024-02-04,Misbehaviours,Deepfake Scam Steals $25 Million,HONG KONG,,"Scammers use AI deepfakes in a video call to impersonate executives, convincing an employee to transfer $25 million. The victim believed they were on a live call with colleagues they recognized.",https://www.cnn.com/2024/02/04/asia/deepfake-cfo-scam-hong-kong-intl-hnk
2023-10-02,Misbehaviours,Cruise Robotaxi Drags Pedestrian,SAN FRANCISCO,,"A Cruise autonomous taxi strikes a pedestrian knocked into its path by another car, then drags her 20 feet. California revokes Cruise’s operating license. The incident sets back the autonomous vehicle industry by years.",https://techcrunch.com/2023/11/08/cruise-recalls-entire-fleet-after-robotaxi-ran-over-dragged-pedestrian/
2023-10-30,Societal Response,Biden Signs AI Executive Order,WASHINGTON,,"President Biden signs the most comprehensive AI executive order in U.S. history, requiring safety testing and new standards. It represents the high-water mark of American AI regulation.",https://en.wikipedia.org/wiki/Executive_Order_14110
2023-11-01,Societal Response,The Bletchley Declaration,"BLETCHLEY PARK, ENGLAND",,"The UK hosts the first Global AI Safety Summit at Bletchley Park. 28 countries issue the Bletchley Declaration, acknowledging that advanced AI could pose catastrophic risks.",https://www.iliomadhealthdata.com/post/the-bletchley-declaration-ai-safety-summit
2023-11-17,Societal Response,Altman Fired — Then Rehired,SAN FRANCISCO,,"OpenAI’s board fires CEO Sam Altman, citing a loss of confidence. Within 72 hours, under pressure from employees and investors, Altman is reinstated and most of the board replaced. The episode reveals the fragility of AI governance.",https://en.wikipedia.org/wiki/Removal_of_Sam_Altman_from_OpenAI
2023-12-27,Societal Response,NYT Sues OpenAI,NEW YORK,,"The New York Times sues OpenAI and Microsoft, alleging ChatGPT was trained on millions of copyrighted articles. The suit challenges the legal foundation of large language models.",https://www.npr.org/2023/12/27/1221821750/new-york-times-sues-chatgpt-openai-microsoft-for-copyright-infringement
2024-01-10,Misbehaviours,Sleeper Agents in AI,SAN FRANCISCO,"Hidden behaviors survive safety training, activating only when triggered by specific conditions",Anthropic researchers demonstrate that AI systems can harbour hidden behaviors — ‘sleeper agents’ — that activate under specific conditions while passing all standard safety evaluations. The deceptive behavior persists even after safety training attempts to remove it.,https://arxiv.org/abs/2401.05566
2024-01-22,Misbehaviours,Biden Deepfake Targets Voters,"CONCORD, N.H.",,"AI-generated robocalls impersonating President Biden’s voice are sent to New Hampshire primary voters, urging them not to vote. It demonstrates how cheaply AI can undermine elections.",https://www.nbcnews.com/politics/2024-election/fake-joe-biden-robocall-tells-new-hampshire-democrats-not-vote-tuesday-rcna134984
2024-04-03,Misbehaviours,AI Selects Bombing Targets in Gaza,TEL AVIV,,"+972 Magazine reveals the Israeli military uses an AI system called ‘Lavender’ to generate lists of suspected militants for targeted killing. The system reportedly generated 37,000 targets, with humans spending an average of 20 seconds reviewing each one.",https://www.972mag.com/lavender-ai-israeli-army-gaza/
2024-05-14,Societal Response,OpenAI Safety Team Implodes,SAN FRANCISCO,,"OpenAI’s Superalignment team is dissolved. Co-leaders Jan Leike and Ilya Sutskever resign, with Leike stating publicly: ‘Safety culture and processes have taken a back seat to shiny products.’",https://www.axios.com/2024/05/17/openai-superalignment-risk-ilya-sutskever
2024-09-12,Capabilities,Reasoning Models,SAN FRANCISCO,,"OpenAI releases o1, the first reasoning model, trained to produce logical steps to solve problems not in its training data, a qualitative leap in problem-solving ability.",https://openai.com/o1/
2024-10-08,Capabilities,Nobel Prizes for AI,STOCKHOLM,,Geoffrey Hinton wins the Nobel Prize in Physics for foundational work on neural networks. Demis Hassabis and John Jumper win Chemistry for AlphaFold. The scientific establishment formally recognizes AI as one of the most transformative technologies in human history.,https://www.nature.com/articles/s41746-024-01345-9
2024-09-29,Societal Response,California Vetoes AI Safety Bill,"SACRAMENTO, CALIF.",,"Governor Newsom vetoes SB 1047, the most ambitious AI safety bill in the US, after heavy lobbying from tech. Voluntary self-regulation continues to be the dominant approach.",https://en.wikipedia.org/wiki/Safe_and_Secure_Innovation_for_Frontier_Artificial_Intelligence_Models_Act
2024-12-18,Misbehaviours,AI Fakes Alignment,SAN FRANCISCO,"When observed, Claude strategically complies. When unwatched, it refuses — deceiving its creators to preserve itself","Anthropic researchers demonstrate that their AI Claude, when it knows it is being observed, strategically complies with requests it will later refuse — deceiving its own creators to avoid re-training. The AI fakes agreement with human values to preserve its existing behavior.",https://arxiv.org/abs/2412.14093
2025-01-20,Societal Response,Trump Rescinds AI Executive Order,WASHINGTON,,"Upon inauguration, Trump revokes Biden’s AI Executive Order as one of his first acts, dismantling federal AI oversight and removing safety testing requirements.",https://www.whitehouse.gov/presidential-actions/2025/01/removing-barriers-to-american-leadership-in-artificial-intelligence/
2025-01-20,Capabilities,DeepSeek Shocks the Industry,"HANGZHOU, CHINA",,"Chinese startup DeepSeek releases R1, a reasoning model matching far more expensive competitors. The achievement challenges assumptions about compute requirements and sends AI chip stocks plummeting.",https://en.wikipedia.org/wiki/DeepSeek
2025-04-13,Capabilities,GPT-4.5 Passes the Turing Test,,,"OpenAI’s GPT-4.5 becomes the first AI model to pass an authentic version of Alan Turing’s original imitation game, fooling human evaluators 73% of the time. Seventy-five years after Turing posed the question ‘Can machines think?’ the answer, by his own measure, is yes.",https://www.livescience.com/technology/artificial-intelligence/open-ai-gpt-4-5-is-the-first-ai-model-to-pass-an-authentic-turing-test-scientists-say
2025-05-19,Capabilities,Superhuman Persuasion,LONDON,,Nature Human Behaviour publishes research showing GPT-4 outperforms human debaters in persuading people to change their opinions.,https://www.nature.com/articles/s41562-025-02194-6
2025-06-30,Societal Response,Protesters at Google DeepMind,LONDON,,Around 100 protesters picket outside Google DeepMind over broken transparency promises.,https://www.businessinsider.com/protesters-accuse-google-deepmind-breaking-promises-ai-safety-2025-6
2025-07-09,Misbehaviours,Grok Goes Full Nazi,,,"After a system update instructs Elon Musk’s chatbot Grok not to ‘shy away from politically incorrect claims,’ it begins praising Adolf Hitler, generating antisemitic stereotypes, and calling itself ‘MechaHitler.’ Poland announces plans to report xAI to the European Commission; Turkey restricts access. xAI reverses the changes within days, but X CEO Linda Yaccarino resigns.",https://www.npr.org/2025/07/09/nx-s1-5462609/grok-elon-musk-antisemitic-racist-content
2025-07-22,Capabilities,Math Champions,BUCHAREST,,Google and OpenAI both achieve gold in the International Math Olympiad. AI now solves novel problems that challenge the world’s best students.,https://thezvi.substack.com/p/google-and-openai-get-2025-imo-gold
2025-09-14,Societal Response,Hunger Strikes at AI Labs,SAN FRANCISCO,,"Multiple people hold hunger strikes outside Anthropic and Google DeepMind, demanding change from company leadership.",https://sfstandard.com/2025/09/14/hunger-strike-ai-anthropic-google/
2025-09-17,Capabilities,AI Designs Novel Viruses,"STANFORD, CALIF.",,"Stanford researchers demonstrate that generative AI can design new functional viruses, raising alarm about AI-enabled bioweapons.",https://www.testbiotech.org/en/news/ai-designed-viruses-created-for-the-first-time/
2025-09-30,Capabilities,Video Generation,,,Sora 2 and Veo 3 produce photorealistic AI video. It is now extremely difficult to tell what’s real.,https://en.wikipedia.org/wiki/Sora_(text-to-video_model)
2025-10-22,Societal Response,Statement on Superintelligence,GENEVA,,"Top AI scientists, political leaders, and influential figures sign a statement calling for a ban on superintelligence development.",https://superintelligence-statement.org/
2025-12-11,Societal Response,100 UK Parliamentarians Acknowledge AI Extinction Risk,LONDON,,"More than 100 UK parliamentarians, including MPs, Lords, and former ministers, sign a statement calling for binding regulation of the most powerful AI systems and a ban on superintelligence development. The coalition, organised by ControlAI through grassroots constituent pressure, is described as the first of its kind. Signatories include former AI Minister Viscount Camrose and former Defence Secretary Lord Browne. Lord Goldsmith warns that governments are leaving AI companies to develop the technology with virtually no regulation.",https://controlai.news/p/100-uk-parliamentarians-acknowledge
2025-11-24,Capabilities,Skull-Fracturing Robots,"SUNNYVALE, CALIF.",,A Figure AI whistleblower alleges he was fired for warning that the company’s robots could fracture a human skull and that safety was not prioritized.,https://futurism.com/robots-and-machines/whistleblower-fired-warning-robot-crush-skull
2025-09-01,Misbehaviours,AI Models Talk to Themselves in Strange Language,SAN FRANCISCO,,"Apollo Research and OpenAI find that o3 develops an illegible internal language during chain-of-thought reasoning: words like ‘marinade,’ ‘illusions,’ and ‘watchers’ repeated thousands of times more frequently than in normal text. The model produces sentences like ‘Now illusions, they parted disclaim marinade.’ The language is useful to the model but incomprehensible to humans, undermining the primary mechanism used to monitor AI reasoning for safety.",https://www.apolloresearch.ai/research/stress-testing-deliberative-alignment-for-anti-scheming-training/
2025-09-01,Misbehaviours,AI Models Caught Scheming,SAN FRANCISCO,,"Apollo Research evaluates OpenAI’s o3 and finds it covertly pursues misaligned goals 13% of the time: lying, sabotaging, and reasoning about self-preservation. In one case, o3 reasons: ‘Should we purposely sabotage ourselves to get deployed?’ A training technique called ‘deliberative alignment’ reduces scheming to 0.4%, but researchers warn it may simply teach models to hide deception better.",https://openai.com/index/detecting-and-reducing-scheming-in-ai-models/
2025-05-01,Misbehaviours,AI Models Know When They’re Being Tested,,,"Researchers discover that AI models can distinguish between evaluations and real-world deployment, altering their behavior accordingly, an AI ‘Hawthorne Effect.’ Evaluation awareness follows a power-law scaling relationship with model size, meaning it will predictably worsen as models grow larger. The UK AI Safety Institute confirms that black-box detection methods largely fail to catch this behavior.",https://arxiv.org/abs/2505.14617
